date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:25	481/481	---MCZ	200	added ('OK')	text/plain	etag:cacheable:131eb30777591067a0dd61fbab2e306a	https://ezdetanglerbrush.com/robots.txt		(from )
09:19:29	351998/351998	---MCZ	200	added ('OK')	text/html	etag:cacheable:1d0bade52985d27a42e67b104452b22b	https://ezdetanglerbrush.com/	C:/Users/radou/Desktop/ezdetanglerbrush.com/ezdetanglerbrush.com/index.html	(from )
09:19:30	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2016%20May%202022%2008:19:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/radou/Desktop/ezdetanglerbrush.com/www.googletagmanager.com/gtm.05445.delayed	(from https://ezdetanglerbrush.com/)
09:19:31	8300/8300	---M--	200	added ('OK')	application/javascript	etag:%2262605681-206c%22	http://cdn.clkmc.com/cmc.js	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.clkmc.com/cmc.js	(from https://ezdetanglerbrush.com/)
09:19:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2008:19:32%20GMT	http://cdn.shopify.com/s/files/1/0263/2764/6287/files/Copy_of_Copy_of_Copy_of_EZ_6_32x32.png?v=1592726293	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/files/Copy_of_Copy_of_Copy_of_EZ_6_32x32.2f632.delayed	(from https://ezdetanglerbrush.com/)
09:19:33	3112/3112	---M--	200	added ('OK')	image/png	date:Mon,%2009%20May%202022%2011:48:39%20GMT	https://cdn.shopify.com/s/files/1/0263/2764/6287/files/Copy_of_Copy_of_Copy_of_EZ_6_32x32.png?v=1592726293	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/files/Copy_of_Copy_of_Copy_of_EZ_6_32x32f632.png	(from https://ezdetanglerbrush.com/)
09:19:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2008:19:33%20GMT	http://cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.scss.css?v=151423319672183032321617806659	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.scssd887.css	(from https://ezdetanglerbrush.com/)
09:19:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2008:19:34%20GMT	http://cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.js?v=1377386202854373321622749768	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme3493.js	(from https://ezdetanglerbrush.com/)
09:19:34	225427/225427	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2011:55:25%20GMT	https://cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.scss.css?v=151423319672183032321617806659	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.scssd887.css	(from https://ezdetanglerbrush.com/)
09:19:34	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2016%20May%202022%2006:31:21%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://ezdetanglerbrush.com/)
09:19:35	374894/374894	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2022:20:08%20GMT	https://cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme.js?v=1377386202854373321622749768	C:/Users/radou/Desktop/ezdetanglerbrush.com/cdn.shopify.com/s/files/1/0263/2764/6287/t/15/assets/theme3493.js	(from https://ezdetanglerbrush.com/)
09:19:35	205096/205096	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2015%20May%202022%2010:21:31%20GMT	https://ufe.helixo.co/scripts/sdk.es5.min.js	C:/Users/radou/Desktop/ezdetanglerbrush.com/ufe.helixo.co/scripts/sdk.es5.min.js	(from https://ezdetanglerbrush.com/)
